"Return to Sender";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"Jailhouse Rock";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"Burning Love";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"His Latest Flame";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"Wooden Heart";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"Don't be Cruel";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"Don't be Cruel";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"Hound Dog";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"In the Ghetto";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"Can't Help Falling in Love";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"Surrender";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"Suspicious Minds";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"Wonder of You, The";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"It's Now or Never";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"I Want you, I Need you, I Love you";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"Blue Suede Shoes";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"Trouble";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"Blue Moon";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"Hawaiian Wedding Song, The";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"Hard Headed Woman";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"Puppet on a String";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"Teddy Bear";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"All Shook Up";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"G.I. Blues";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"Heartbreak Hotel";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"Stuck on You";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"Moody Blue";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"One Night";"Elvis Presley";"U-Best Super Hits 40 DVD Collection Pack";1
"new york, new york";"frank sinatra";"U-Best Super Hits 40 DVD Collection Pack";2
"come fly with me";"frank sinatra";"U-Best Super Hits 40 DVD Collection Pack";2
"love's been good to me";"frank sinatra";"U-Best Super Hits 40 DVD Collection Pack";2
"I'll never smile again";"frank sinatra";"U-Best Super Hits 40 DVD Collection Pack";2
"I've got you under my skin";"frank sinatra";"U-Best Super Hits 40 DVD Collection Pack";2
"call me irresponsible";"frank sinatra";"U-Best Super Hits 40 DVD Collection Pack";2
"all the way";"frank sinatra";"U-Best Super Hits 40 DVD Collection Pack";2
"the lady is a tramp";"frank sinatra";"U-Best Super Hits 40 DVD Collection Pack";2
"it was a very good year";"frank sinatra";"U-Best Super Hits 40 DVD Collection Pack";2
"you make me feel to young";"frank sinatra";"U-Best Super Hits 40 DVD Collection Pack";2
"cycles";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";2
"high hopes";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";2
"my funny valentine";"frank sinatra";"U-Best Super Hits 40 DVD Collection Pack";2
"portofino";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";2
"ten guitars";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";2
"there goes my everything";"jack greene";"U-Best Super Hits 40 DVD Collection Pack";2
"the spanish night is over";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";2
"les bicyclettes de belsize";"Unknown";"U-Best Super Hits 40 DVD Collection Pack";2
"after the lovin";"engelbert humperdinck";"U-Best Super Hits 40 DVD Collection Pack";2
"quando quando quando";"engelbert humperdinck";"U-Best Super Hits 40 DVD Collection Pack";2
"the way it used to be";"engelbert humperdinck";"U-Best Super Hits 40 DVD Collection Pack";2
"if you love me (really love me)";"stevie wonder";"U-Best Super Hits 40 DVD Collection Pack";2
"didn't we";"frank sinatra";"U-Best Super Hits 40 DVD Collection Pack";2
"when somebody loves you";"frank sinatra";"U-Best Super Hits 40 DVD Collection Pack";2
"from here to eternity";"frank sinatra";"U-Best Super Hits 40 DVD Collection Pack";2
"like a virgin";"madonna";"U-Best Super Hits 40 DVD Collection Pack";3
"slow hand";"pointer sisters";"U-Best Super Hits 40 DVD Collection Pack";3
"self control";"laura branigan";"U-Best Super Hits 40 DVD Collection Pack";3
"hello";"lionel richie";"U-Best Super Hits 40 DVD Collection Pack";3
"say you say me";"lionel richie";"U-Best Super Hits 40 DVD Collection Pack";3
"dreams to dream";"linda ronstadt";"U-Best Super Hits 40 DVD Collection Pack";3
"dizzy";"tommy roe";"U-Best Super Hits 40 DVD Collection Pack";3
"right here waiting";"richard marx";"U-Best Super Hits 40 DVD Collection Pack";3
"love hurts";"cher";"U-Best Super Hits 40 DVD Collection Pack";3
"goeorgia on my mind";"ray charles";"U-Best Super Hits 40 DVD Collection Pack";3
"still got the blues";"gary moore";"U-Best Super Hits 40 DVD Collection Pack";3
"set the night to music";"roberta flack";"U-Best Super Hits 40 DVD Collection Pack";3
"don't cry";"guns n roses";"U-Best Super Hits 40 DVD Collection Pack";3
"wind of change";"the scorpions";"U-Best Super Hits 40 DVD Collection Pack";3
"baby baby";"Amy Grant";"U-Best Super Hits 40 DVD Collection Pack";3
" that's what love is for";"Amy Grant";"U-Best Super Hits 40 DVD Collection Pack";3
"breakin my heart (pretty brown eyes)";"lawrence wadell";"U-Best Super Hits 40 DVD Collection Pack";3
"I'm your baby tonight";"Whitney Housten";"U-Best Super Hits 40 DVD Collection Pack";3
"never gonna give you up";"rick astley";"U-Best Super Hits 40 DVD Collection Pack";3
